tokens,token_name
0x0ccae1bc46fb018dd396ed4c45565d4cb9d41098,MISHA
0x11bce3d6e2aec3bfaa4b47fb654c850418ce861b,Robotaxi
0x8590977105a2ac180213449b71ab2bcd86412c80,BABYMOODE...
0x979e030a78a540e78ac33c1b7745a298fbfa18b3,$GPUL
0x6985884c4392d348587b19cb9eaaf157f13271cd,ZRO
0x26ebb8213fb8d66156f1af8908d43f7e3e367c1d,RETIK
0x6758f96b1927f6a84a444447cd1fe04d75ebb187,REPUBLICAN
0xbf5495efe5db9ce00f80364c8b423567e58d2110,Renzo Res...
0x767fe9edc9e0df98e07454847909b5e959d7ca0e,ILV
0x284b25d8f199125da962abc9ee6e6b1b6715cae3,SNAP
0x10025098bb91571aca9f7ab381ea46f6cafe0045,FUKU
0xb6805dc6f10a77d964aa9b305a2f8c7e7af2b268,FUKU2.0
0xadbba9b238381ac142cd79f18c34f4b0cf20c589,GOO
0x5afe3855358e112b5647b952709e6165e1c1eeee,SAFE
0x3739426e21d912b604c106f852d136ba58f61517,DOGGO
0x786f112c9a6bc840cdc07cfd840105efd6ef2d4b,EDOGE
0xbe77212a6c7f55567470c2c95aff7b0b0e0c3ef5,Shiba 2.0
0x710287d1d39dcf62094a83ebb3e736e79400068a,ENQAI
0x318430acef06dbda24eabe8c41170a3120c673b1,MAMA
0x9a27cc554acc9dbbfdee3e932b538f7264547715,DEMS
0x69420e3a3aa9e17dea102bb3a9b3b73dcddb9528,ELON
0x0f7fc7761d5b32496fbdfe2945c563cd3b1274d5,CyberCab
0x9fd9278f04f01c6a39a9d1c1cd79f7782c6ade08,BIAO
0x8c19f7854b27758ddffdcdc8908f22bf55e00736,YIELD
0xb58e26ac9cc14c0422c2b419b0ca555ee4dcb7cb,Niza
0x9eec1a4814323a7396c938bc86aec46b97f1bd82,TOKU
0xad8d08c6d24e42e6cd4e29a9e9d9af270d477e86,HACHI
0x26c8afbbfe1ebaca03c2bb082e69d0476bffe099,CELL
0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,SHIB
0x5d8b552daf7351c49792ace1449ecf2f15e79181,NIWU
0xa0ef786bf476fe0810408caba05e536ac800ff86,MYRIA
0x18aaa7115705e8be94bffebde57af9bfc265b998,AUDIO
0x66bff695f3b16a824869a8018a3a6e3685241269,BRETT
0x10d2bfe91d46d4661e3426cfb8b86ffdca6b9e63,PAC
0x4a64c07fc03302a4a0979afc2878e94d3cc80597,RTR
0x2e8e96dcee8c9b859db854b3e63bfe9d271c709b,MAGALYMPI...
0x67219acd43664e8fd12f97974b5adfa744f02f91,HSI
0x5de758bba013e58dae2693aea3f0b12b31a3023d,SATO
0x590246bfbf89b113d8ac36faeea12b7589f7fe5b,FLAPPY
0x22d2b0220115b3b83618d239e14c8e600a64a8c1,MAGMA
0x2ef89a2a07f667bf77682e8d92687baf090db362,AGURI
0xdac17f958d2ee523a2206206994597c13d831ec7,USDT
0x667102bd3413bfeaa3dffb48fa8288819e480a88,TKX
0x00f116ac0c304c570daaa68fa6c30a86a04b5c5f,INF
0x4e259ac371aa8c49fadacad9cd437fe0c07e390b,TRIO
0x9e18d5bab2fa94a6a95f509ecb38f8f68322abd3,OMIKAMI
0x12970e6868f88f6557b76120662c1b3e50a646bf,LADYS
0x68a47fe1cf42eba4a030a10cd4d6a1031ca3ca0a,TET
0x0cb605b0eb896e6bc66fe90386e1dad1acf32521,MOOWAN
0xa00453052a36d43a99ac1ca145dfe4a952ca33b8,Token Info
0x0590cc9232ebf68d81f6707a119898219342ecb9,BCAT
0x5e6478c9cae634136e57fa58517c7b54c0b66d70,ONEI
0xa3afde18361e4b986b79c421905d1dccccba017e,MABA
0x73d7c860998ca3c01ce8c808f5577d94d545d1b4,IXS
0x8baf5d75cae25c7df6d1e0d26c52d19ee848301a,CATALORIAN
0x0f917797f72423fc7220c63bb70755c7d81c5a09,RTR
0x3e0a326cc37e8cb96ea6dd8d032a2652ea5f90f6,HACHI
0x69479b3ead89d806187d4d0c4fd9840c5c478049,TRUMPE
0xae78736cd615f374d3085123a210448e74fc6393,rETH
0xa21af1050f7b26e0cff45ee51548254c41ed6b5c,OSAK
0x240d6faf8c3b1a7394e371792a3bf9d28dd65515,BRETT
0xf19308f923582a6f7c465e5ce7a9dc1bec6665b1,TITANX
0x7d8146cf21e8d7cbe46054e01588207b51198729,BOB
0x467719ad09025fcc6cf6f8311755809d45a5e5f3,AXL
0xae820433453d4ca9286a277cc437cae1b9846b65,MWAR3
0xae41b275aaaf484b541a5881a2dded9515184cca,CSWAP
0x9e6be44cc1236eef7e1f197418592d363bedcd5a,AZUR
0x83e6f1e41cdd28eaceb20cb649155049fac3d5aa,POLS
0xa957c958c74fc70e6f21f85caa69f99a85d27f9c,Grimace
0x4be7f4e7ffb720dcdcdf7c86718df2be8ade636c,NINJA
0xabcde3e9a7522ff458a55efce4948d4e435a4ece,pooku
0x03aa6298f1370642642415edc0db8b957783e8d6,NMT
0x0e1e9c733f1de54340dd77ce8cdb4bd847e1fe88,PAW
0x6942806d1b2d5886d95ce2f04314ece8eb825833,Groyper
0x58aea10748a00d1781d6651f9d78a414ea32ca46,VSG
0x1be279a20162d96381a75b6665a7ba8db3d021f1,DAN
0x391cf4b21f557c935c7f670218ef42c21bd8d686,XMW
0x728f30fa2f100742c7949d1961804fa8e0b1387d,GHX
0x48660519af97beb86a22d9750642561fbc6028a1,BABYFUKU
0xb7109df1a93f8fe2b8162c6207c9b846c1c68090,MAX
0x566e95139e4de1bfa505a598ec3a9da4cfa879ec,TCATI
0x39524f51183ef03f8bc5d32b1d03569b9aa26f8a,HACHI
0x94ba38535f192cc1255736245dc3817369c4e18d,LILY
0x271a66f8c4728b07a6a8d3895cf825f4a0791d3c,Minions
0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24,RNDR
0x96332e66097ab11eb780cb5f1df69eece0bdd574,WANDY
0x24fcfc492c1393274b6bcd568ac9e225bec93584,MAVIA
0x7420b4b9a0110cdc71fb720908340c03f9bc03ec,JASMY
0x5408d3883ec28c2de205064ae9690142b035fed2,RASTO
0x3302277bdeecbee4616f2c62244b12dd630632fb,KyberSwap
